1014	121531	"Goos, Roger D."	"Roger Goos"	"Roger "	"Goos"
1014	176801	"Goos, Roger Delman"	"Roger Goos"	"Roger "	"Goos"
1872	135046	"Gornall, Richard J."	"Richard J. Gornall"	"Richard "	"Gornall"
1872	183093	"Gornall, Richard John"	"Richard J. Gornall"	"Richard "	"Gornall"
1472	110165	"Grand, Larry F."	"Larry F. Grand"	"Larry "	"Grand"
1143	117917	"Grandtner, Miroslav M."	"Miroslav M. Grandtner"	"Miroslav "	"Grandtner"
2133	112189	"Granger, Suzanne L."	"Suzanne L. Granger"	"Suzanne "	"Granger"
417747	115753	"Grant, Jason R."	"Jason Grant"	"Jason "	"Grant"
1629	139266	"Grassi, Marta María"	"Marta M. Grassi"	"Marta "	"Grassi"
1005	115298	"Greene, Craig William"	"Craig W. Greene"	"Craig "	"Greene"
1686	109527	"Grimm, Robert B."	"Robert B. Grimm"	"Robert "	"Grimm"
1115	135736	"Gruezo, William S."	"William S. Gruezo"	"William "	"Gruezo"
1115	171605	"Gruezo, William Sm."	"William S. Gruezo"	"William "	"Gruezo"
1578	118523	"Gruff, Susan C."	"Susan Gruff"	"Susan "	"Gruff"
1578	179996	"Gruff, Susan Carol"	"Susan Gruff"	"Susan "	"Gruff"
2139	175638	"Gulden, Gro Sissel"	"Gro Gulden"	"Gro "	"Gulden"
2105	106348	"Gustafson, Robert J."	"Robert J. Gustafson"	"Robert "	"Gustafson"
1216	181733	"Gutierrez Amaro, Jorge E."	"Jorge Gutierrez Amaro"	"Jorge "	"Amaro"
1595	124202	"Haapasaari, Matti K."	"Matti K. Haapasaari"	"Matti "	"Haapasaari"
1067	100183	"Haines, Arthur Duane"	"Arthur Haines"	"Arthur "	"Haines"
1940	146950	"Haines, John H."	"John H. Haines"	"John "	"Haines"
1451	142072	"Halse, Richard R."	"Richard R. Halse"	"Richard "	"Halse"
1451	173723	"Halse, Richard Ray"	"Richard R. Halse"	"Richard "	"Halse"
1099	128276	"Hamilton, Paul Brian"	"Paul Hamilton"	"Paul "	"Hamilton"
1004	141951	"Hanlin, Richard Thomas"	"Richard T. Hanlin"	"Richard "	"Hanlin"
1971	147317	"Hannan, Gary L."	"Gary L. Hannan"	"Gary "	"Hannan"
1561	118045	"Hansen, Bruce Frederick"	"Bruce F. Hansen"	"Bruce "	"Hansen"
1519	166301	"Hansen, Curtis J."	"Curtis J. Hansen"	"Curtis "	"Hansen"
1663	148851	"Harberd, David J."	"David J. Harberd"	"David "	"Harberd"
